,filename,category,predictions,diff
0,cat.0.jpg,0,0,True
1,cat.1.jpg,0,0,True
2,cat.10.jpg,0,0,True
3,cat.100.jpg,0,0,True
4,cat.1000.jpg,0,0,True
5,cat.10000.jpg,0,0,True
6,cat.10001.jpg,0,0,True
7,cat.10002.jpg,0,0,True
8,cat.10003.jpg,0,0,True
9,cat.10004.jpg,0,0,True
10,cat.10005.jpg,0,0,True
11,cat.10006.jpg,0,0,True
12,cat.10007.jpg,0,0,True
13,cat.10008.jpg,0,1,False
14,cat.10009.jpg,0,0,True
15,cat.1001.jpg,0,0,True
16,cat.10010.jpg,0,1,False
17,cat.10011.jpg,0,0,True
18,cat.10012.jpg,0,0,True
19,cat.10013.jpg,0,0,True
20,cat.10014.jpg,0,0,True
21,cat.10015.jpg,0,0,True
22,cat.10016.jpg,0,0,True
23,cat.10017.jpg,0,0,True
24,cat.10018.jpg,0,0,True
25,cat.10019.jpg,0,0,True
26,cat.1002.jpg,0,0,True
27,cat.10020.jpg,0,0,True
28,cat.10021.jpg,0,0,True
29,cat.10022.jpg,0,1,False
30,cat.10023.jpg,0,0,True
31,cat.10024.jpg,0,0,True
32,cat.10025.jpg,0,0,True
33,cat.10026.jpg,0,0,True
34,cat.10027.jpg,0,0,True
35,cat.10028.jpg,0,0,True
36,cat.10029.jpg,0,0,True
37,cat.1003.jpg,0,1,False
38,cat.10030.jpg,0,0,True
39,cat.10031.jpg,0,0,True
40,cat.10032.jpg,0,0,True
41,cat.10033.jpg,0,0,True
42,cat.10034.jpg,0,0,True
43,cat.10035.jpg,0,0,True
44,cat.10036.jpg,0,0,True
45,cat.10037.jpg,0,0,True
46,cat.10038.jpg,0,0,True
47,cat.10039.jpg,0,0,True
48,cat.1004.jpg,0,0,True
49,cat.10040.jpg,0,0,True
50,cat.10041.jpg,0,0,True
51,cat.10042.jpg,0,0,True
52,cat.10043.jpg,0,0,True
53,cat.10044.jpg,0,0,True
54,cat.10045.jpg,0,0,True
55,cat.10046.jpg,0,0,True
56,cat.10047.jpg,0,0,True
57,cat.10048.jpg,0,0,True
58,cat.10049.jpg,0,0,True
59,cat.1005.jpg,0,0,True
60,cat.10050.jpg,0,0,True
61,cat.10051.jpg,0,1,False
62,cat.10052.jpg,0,0,True
63,cat.10053.jpg,0,0,True
64,cat.10054.jpg,0,0,True
65,cat.10055.jpg,0,0,True
66,cat.10056.jpg,0,0,True
67,cat.10057.jpg,0,0,True
68,cat.10058.jpg,0,0,True
69,cat.10059.jpg,0,0,True
70,cat.1006.jpg,0,0,True
71,cat.10060.jpg,0,0,True
72,cat.10061.jpg,0,0,True
73,cat.10062.jpg,0,0,True
74,cat.10063.jpg,0,0,True
75,cat.10064.jpg,0,0,True
76,cat.10065.jpg,0,0,True
77,cat.10066.jpg,0,0,True
78,cat.10067.jpg,0,0,True
79,cat.10068.jpg,0,0,True
80,cat.10069.jpg,0,0,True
81,cat.1007.jpg,0,0,True
82,cat.10070.jpg,0,0,True
83,cat.10071.jpg,0,0,True
84,cat.10072.jpg,0,0,True
85,cat.10073.jpg,0,0,True
86,cat.10074.jpg,0,0,True
87,cat.10075.jpg,0,0,True
88,cat.10076.jpg,0,0,True
89,cat.10077.jpg,0,0,True
90,cat.10078.jpg,0,0,True
91,cat.10079.jpg,0,0,True
92,cat.1008.jpg,0,0,True
93,cat.10080.jpg,0,0,True
94,cat.10081.jpg,0,0,True
95,cat.10082.jpg,0,0,True
96,cat.10083.jpg,0,0,True
97,cat.10084.jpg,0,0,True
98,cat.10085.jpg,0,0,True
99,cat.10086.jpg,0,0,True
